Subject,Body,Label
Urgent! Your Account Has Been Suspended,We have detected unusual activity on your account. Click here to verify immediately: http://verify-now-login.com,1
"Congratulations! You won a $10,000 Gift Card","To claim your prize, reply with your personal information within 24 hours.",1
Limited Time Offer – Save 90%,Shop our exclusive deals today before they expire!,1
Bank Alert: Account Locked,Your account access has been restricted. Click here to unlock: http://securebank-login.com,1
Earn $5000 From Home!,Start working remotely and make big money easily. Register here: http://easycashjobs.com,1
Action Required: Verify PayPal Account,Your PayPal account is on hold. Verify your details to continue using our services.,1
You Have an Unclaimed Package,Click the link to confirm your delivery information: http://parcel-update.net,1
Get Rich with Cryptocurrency,Invest $100 today and earn $1000 tomorrow! Limited slots available.,1
Exclusive Insurance Plan – No Medical Needed,Apply today and get instant coverage with zero checks.,1
Final Warning! Account Termination Notice,Failure to update your login details will result in deactivation.,1
Meeting Tomorrow at 10 AM,"Hi team, please be on time for our scheduled meeting tomorrow at 10.",0
Lunch Plan,Are you free to grab lunch today around 1 PM?,0
Project Update,Please find attached the updated project report for review.,0
Invoice for This Month,Attached is the invoice for October billing cycle. Let me know if you have questions.,0
Team Outing Confirmation,Looking forward to our outing this weekend!,0
Feedback Request,Could you please share your thoughts on the new dashboard design?,0
Meeting Rescheduled,The client meeting has been moved to 4 PM instead of 3 PM.,0
Daily Sales Report,The attached Excel file contains today’s sales summary.,0
Welcome to the Team!,We’re excited to have you on board. Here are your onboarding details.,0
Upcoming Maintenance Notice,The system will be down for maintenance from 1–3 AM.,0
